   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.000    0.000 datetime.py:40(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:45(_days_in_month)
        1    0.000    0.000    0.001    0.001 datetime.py:5(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:530(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:658(date)
        2    0.000    0.000    0.000    0.000 datetime.py:688(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:953(tzinfo)
        1    0.000    0.000    0.001    0.001 dbapi2.py:23(<module>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:50(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:51(<listcomp>)
        1    0.000    0.000    0.000    0.000 dbapi2.py:56(register_adapters_and_converters)
        1    0.000    0.000    0.002    0.002 decimal.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decisiontree.py:12(<module>)
        1    0.000    0.000    0.000    0.000 decisiontree.py:21(DecisionTreeClassifier)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:253(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:283(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:1(<module>)
        5    0.000    0.000    0.000    0.000 decorators.py:114(decorator)
        5    0.000    0.000    0.000    0.000 decorators.py:12(pass_context)
        1    0.000    0.000    0.000    0.000 decorators.py:121(group)
        6    0.000    0.000    0.000    0.000 decorators.py:130(_param_memo)
        1    0.000    0.000    0.000    0.000 decorators.py:131(decorator)
        4    0.000    0.000    0.000    0.000 decorators.py:139(argument)
        4    0.000    0.000    0.000    0.000 decorators.py:149(decorator)
        2    0.000    0.000    0.000    0.000 decorators.py:156(option)
        2    0.000    0.000    0.000    0.000 decorators.py:166(decorator)
        1    0.000    0.000    0.000    0.000 decorators.py:23(<listcomp>)
        1    0.000    0.000    0.000    0.000 decorators.py:32(getinfo)
        5    0.000    0.000    0.000    0.000 decorators.py:69(_make_command)
        1    0.000    0.000    0.000    0.000 decorators.py:7(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:82(update_wrapper)
        5    0.000    0.000    0.000    0.000 decorators.py:92(command)
        1    0.000    0.000    0.000    0.000 dependency.py:10(<module>)
        1    0.000    0.000    0.000    0.000 dependency.py:18(DependencyCorpusReader)
        1    0.000    0.000    0.000    0.000 dependency.py:65(DependencyCorpusView)
        1    0.000    0.000    0.000    0.000 dependencygraph.py:15(<module>)
        1    0.000    0.000    0.000    0.000 dependencygraph.py:33(DependencyGraph)
        1    0.000    0.000    0.000    0.000 dependencygraph.py:548(DependencyGraphError)
        1    0.000    0.000    0.000    0.000 dialog.py:3(<module>)
        1    0.000    0.000    0.000    0.000 dialog.py:9(Dialog)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dis.py:178(Instruction)
        1    0.000    0.000    0.000    0.000 dis.py:416(Bytecode)
        1    0.000    0.000    0.000    0.000 discourse.py:104(CfgReadingCommand)
        1    0.000    0.000    0.000    0.000 discourse.py:129(DrtGlueReadingCommand)
        1    0.000    0.000    0.000    0.000 discourse.py:164(DiscourseTester)
        1    0.000    0.000    0.008    0.008 discourse.py:44(<module>)
        1    0.000    0.000    0.000    0.000 discourse.py:63(ReadingCommand)
        1    0.000    0.000    0.000    0.000 dispersion.py:10(<module>)
        1    0.000    0.000    0.000    0.000 distance.py:20(<module>)
        1    0.000    0.000    0.000    0.000 downloader.py:1129(DownloaderGUI)
        1    0.000    0.000    0.000    0.000 downloader.py:1857(_DownloadThread)
        1    0.000    0.000    0.000    0.000 downloader.py:186(Package)
        1    0.000    0.000    0.000    0.000 downloader.py:268(Collection)
        1    0.000    0.000    0.000    0.000 downloader.py:312(DownloaderMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:315(StartCollectionMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:318(FinishCollectionMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:321(StartPackageMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:324(FinishPackageMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:327(StartDownloadMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:330(FinishDownloadMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:333(StartUnzipMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:336(FinishUnzipMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:339(UpToDateMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:342(StaleMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:345(ErrorMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:354(ProgressMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:357(SelectDownloadDirMessage)
        1    0.000    0.000    0.000    0.000 downloader.py:365(Downloader)
        1    0.000    0.000    0.000    0.000 downloader.py:406(__init__)
        1    0.000    0.000    0.006    0.006 downloader.py:68(<module>)
        1    0.000    0.000    0.000    0.000 downloader.py:911(default_download_dir)
        1    0.000    0.000    0.000    0.000 downloader.py:980(DownloaderShell)
        1    0.000    0.000    0.000    0.000 drt.py:175(DrtExpression)
        1    0.000    0.000    0.000    0.000 drt.py:276(DRS)
        1    0.000    0.000    0.000    0.000 drt.py:36(DrtTokens)
        1    0.000    0.000    0.000    0.000 drt.py:498(DrtAbstractVariableExpression)
        1    0.000    0.000    0.000    0.000 drt.py:51(DrtParser)
        1    0.000    0.000    0.000    0.000 drt.py:514(DrtIndividualVariableExpression)
        1    0.000    0.000    0.000    0.000 drt.py:517(DrtFunctionVariableExpression)
        1    0.000    0.000    0.000    0.000 drt.py:520(DrtEventVariableExpression)
        1    0.000    0.000    0.000    0.000 drt.py:523(DrtConstantExpression)
        1    0.000    0.000    0.000    0.000 drt.py:527(DrtProposition)
        1    0.000    0.000    0.000    0.000 drt.py:53(__init__)
        1    0.000    0.000    0.000    0.000 drt.py:57(<listcomp>)
        1    0.000    0.000    0.000    0.000 drt.py:578(DrtNegatedExpression)
        1    0.000    0.000    0.000    0.000 drt.py:58(<listcomp>)
        1    0.000    0.000    0.000    0.000 drt.py:593(DrtLambdaExpression)
        1    0.000    0.000    0.000    0.000 drt.py:60(<listcomp>)
        1    0.000    0.000    0.000    0.000 drt.py:619(DrtBinaryExpression)
        1    0.000    0.000    0.000    0.000 drt.py:63(<listcomp>)
        1    0.000    0.000    0.000    0.000 drt.py:64(<listcomp>)
        1    0.000    0.000    0.000    0.000 drt.py:641(DrtBooleanExpression)
        1    0.000    0.000    0.000    0.000 drt.py:644(DrtOrExpression)
        1    0.000    0.000    0.000    0.000 drt.py:653(DrtEqualityExpression)
        1    0.000    0.000    0.000    0.000 drt.py:657(DrtConcatenation)
        1    0.000    0.000    0.000    0.000 drt.py:793(DrtApplicationExpression)
        1    0.000    0.000    0.007    0.007 drt.py:8(<module>)
        1    0.000    0.000    0.000    0.000 drt.py:820(PossibleAntecedents)
        1    0.000    0.000    0.000    0.000 drt.py:846(AnaphoraResolutionException)
        1    0.000    0.000    0.000    0.000 drt.py:922(DrsDrawer)
        1    0.000    0.000    0.000    0.000 earleychart.py:114(FeatureIncrementalChart)
        1    0.000    0.000    0.000    0.000 earleychart.py:161(CompleteFundamentalRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:173(CompleterRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:180(ScannerRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:187(PredictorRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:190(FilteredCompleteFundamentalRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:202(FeatureCompleteFundamentalRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:214(FeatureCompleterRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:217(FeatureScannerRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:220(FeaturePredictorRule)
        1    0.000    0.000    0.000    0.000 earleychart.py:249(IncrementalChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:27(<module>)
        1    0.000    0.000    0.000    0.000 earleychart.py:333(EarleyChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:338(IncrementalTopDownChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:342(IncrementalBottomUpChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:346(IncrementalBottomUpLeftCornerChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:350(IncrementalLeftCornerChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:379(FeatureIncrementalChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:391(FeatureEarleyChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:395(FeatureIncrementalTopDownChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:399(FeatureIncrementalBottomUpChartParser)
        1    0.000    0.000    0.000    0.000 earleychart.py:403(FeatureIncrementalBottomUpLeftCornerChartPa
rser)
        1    0.000    0.000    0.000    0.000 earleychart.py:50(IncrementalChart)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.000    0.000 encoders.py:5(<module>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       17    0.000    0.000    0.000    0.000 enum.py:114(__prepare__)
       17    0.002    0.000    0.004    0.000 enum.py:124(__new__)
       17    0.000    0.000    0.000    0.000 enum.py:135(<dictcomp>)
       17    0.000    0.000    0.000    0.000 enum.py:160(<setcomp>)
       53    0.000    0.000    0.000    0.000 enum.py:179(<genexpr>)
      261    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
    35821    0.014    0.000    0.035    0.000 enum.py:265(__call__)
      306    0.000    0.000    0.000    0.000 enum.py:28(_is_dunder)
       17    0.000    0.000    0.000    0.000 enum.py:310(__getattr__)
       16    0.000    0.000    0.000    0.000 enum.py:335(__members__)
      379    0.000    0.000    0.001    0.000 enum.py:351(__setattr__)
      306    0.000    0.000    0.000    0.000 enum.py:36(_is_sunder)
       13    0.000    0.000    0.003    0.000 enum.py:364(_create_)
       47    0.000    0.000    0.000    0.000 enum.py:417(_get_mixins_)
        1    0.000    0.000    0.000    0.000 enum.py:43(_make_class_unpicklable)
       17    0.000    0.000    0.000    0.000 enum.py:462(_find_new_)
    35808    0.017    0.000    0.018    0.000 enum.py:515(__new__)
      258    0.000    0.000    0.000    0.000 enum.py:592(name)
       12    0.000    0.000    0.000    0.000 enum.py:597(value)
       13    0.000    0.000    0.005    0.000 enum.py:602(_convert)
       13    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
      158    0.000    0.000    0.000    0.000 enum.py:628(<lambda>)
       17    0.000    0.000    0.000    0.000 enum.py:65(__init__)
      306    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
       12    0.000    0.000    0.001    0.000 enum.py:758(_missing_)
       12    0.000    0.000    0.001    0.000 enum.py:765(_create_pseudo_member_)
      371    0.000    0.000    0.002    0.000 enum.py:795(__or__)
    17533    0.018    0.000    0.052    0.000 enum.py:801(__and__)
      126    0.000    0.000    0.000    0.000 enum.py:820(_high_bit)
       12    0.000    0.000    0.001    0.000 enum.py:837(_decompose)
       12    0.000    0.000    0.000    0.000 enum.py:855(<listcomp>)
       32    0.000    0.000    0.000    0.000 enum.py:866(<lambda>)
      150    0.000    0.000    0.000    0.000 enum.py:872(_power_of_two)
        1    0.000    0.000    0.000    0.000 error.py:12(<module>)
        1    0.000    0.000    0.000    0.000 error.py:13(PythonTwitterDeprecationWarning)
        1    0.000    0.000    0.000    0.000 error.py:18(PythonTwitterDeprecationWarning330)
        1    0.000    0.000    0.000    0.000 error.py:23(URLError)
        1    0.000    0.000    0.000    0.000 error.py:39(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:4(<module>)
        1    0.000    0.000    0.000    0.000 error.py:4(TwitterError)
        1    0.000    0.000    0.000    0.000 error.py:77(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 erroranalysis.py:11(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:101(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:102(MissingTokenError)
        1    0.000    0.000    0.000    0.000 errors.py:104(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:106(MissingTokenTypeError)
        1    0.000    0.000    0.000    0.000 errors.py:110(FatalClientError)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:125(InvalidRequestFatalError)
        1    0.000    0.000    0.000    0.000 errors.py:133(InvalidRedirectURIError)
        1    0.000    0.000    0.000    0.000 errors.py:137(MissingRedirectURIError)
        1    0.000    0.000    0.000    0.000 errors.py:14(OAuth1Error)
        1    0.000    0.000    0.000    0.000 errors.py:14(OAuth2Error)
        1    0.000    0.000    0.000    0.000 errors.py:141(MismatchingRedirectURIError)
        1    0.000    0.000    0.000    0.000 errors.py:145(InvalidClientIdError)
        1    0.000    0.000    0.000    0.000 errors.py:149(MissingClientIdError)
        1    0.000    0.000    0.000    0.000 errors.py:153(InvalidRequestError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:162(MissingResponseTypeError)
        1    0.000    0.000    0.000    0.000 errors.py:166(AccessDeniedError)
        1    0.000    0.000    0.000    0.000 errors.py:173(UnsupportedResponseTypeError)
        1    0.000    0.000    0.000    0.000 errors.py:181(InvalidScopeError)
        1    0.000    0.000    0.000    0.000 errors.py:188(ServerError)
        1    0.000    0.000    0.000    0.000 errors.py:198(TemporarilyUnavailableError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:208(InvalidClientError)
        1    0.000    0.000    0.000    0.000 errors.py:224(InvalidGrantError)
        1    0.000    0.000    0.000    0.000 errors.py:235(UnauthorizedClientError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:244(UnsupportedGrantTypeError)
        1    0.000    0.000    0.000    0.000 errors.py:252(UnsupportedTokenTypeError)
        1    0.000    0.000    0.000    0.000 errors.py:261(FatalOpenIDClientError)
        1    0.000    0.000    0.000    0.000 errors.py:264(OpenIDClientError)
        1    0.000    0.000    0.000    0.000 errors.py:268(InteractionRequired)
        1    0.000    0.000    0.000    0.000 errors.py:279(LoginRequired)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:290(AccountSelectionRequried)
        1    0.000    0.000    0.000    0.000 errors.py:303(ConsentRequired)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:65(InsecureTransportError)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidSignatureMethodError)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:74(InvalidRequestError)
        1    0.000    0.000    0.000    0.000 errors.py:78(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:78(InvalidClientError)
        2    0.000    0.000    0.001    0.000 errors.py:8(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:84(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:84(TokenExpiredError)
        1    0.000    0.000    0.000    0.000 errors.py:87(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:88(InsecureTransportError)
        1    0.000    0.000    0.000    0.000 errors.py:90(NonPrintableDefect)
        1    0.000    0.000    0.000    0.000 errors.py:93(MismatchingStateError)
        1    0.000    0.000    0.000    0.000 errors.py:98(MissingCodeError)
        1    0.000    0.000    0.000    0.000 evaluate.py:14(DependencyEvaluator)
        1    0.000    0.000    0.002    0.002 evaluate.py:15(<module>)
        1    0.000    0.000    0.000    0.000 evaluate.py:223(Assignment)
        1    0.000    0.000    0.000    0.000 evaluate.py:34(Error)
        1    0.000    0.000    0.000    0.000 evaluate.py:352(Model)
        1    0.000    0.000    0.000    0.000 evaluate.py:36(Undefined)
        1    0.000    0.000    0.000    0.000 evaluate.py:9(<module>)
        1    0.000    0.000    0.000    0.000 evaluate.py:98(Valuation)
        2    0.000    0.000    0.016    0.008 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:100(RetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:103(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:108(ReadTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:109(RequestsWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:114(FileModeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:115(ConnectTimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:12(RequestException)
        1    0.000    0.000    0.000    0.000 exceptions.py:120(NewConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:125(EmptyPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:13(HTTPWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:130(ClosedPoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:135(LocationValueError)
        1    0.000    0.000    0.000    0.000 exceptions.py:135(NoSuchOption)
        1    0.000    0.000    0.000    0.000 exceptions.py:140(LocationParseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:150(ResponseError)
        1    0.000    0.000    0.000    0.000 exceptions.py:156(SecurityWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:161(BadOptionUsage)
        1    0.000    0.000    0.000    0.000 exceptions.py:161(SubjectAltNameWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:166(InsecureRequestWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:171(SystemTimeWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:173(BadArgumentUsage)
        1    0.000    0.000    0.000    0.000 exceptions.py:176(InsecurePlatformWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:18(PoolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:181(SNIMissingWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:185(FileError)
        1    0.000    0.000    0.000    0.000 exceptions.py:186(DependencyWarning)
        1    0.000    0.000    0.000    0.000 exceptions.py:194(ResponseNotChunked)
        1    0.000    0.000    0.000    0.000 exceptions.py:199(BodyNotHttplibCompatible)
        1    0.000    0.000    0.000    0.000 exceptions.py:200(Abort)
        1    0.000    0.000    0.000    0.000 exceptions.py:207(IncompleteRead)
        1    0.000    0.000    0.000    0.000 exceptions.py:223(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:228(ProxySchemeUnknown)
        1    0.000    0.000    0.000    0.000 exceptions.py:237(HeaderParsingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:244(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:27(UsageError)
        1    0.000    0.000    0.000    0.000 exceptions.py:28(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:29(RequestError)
        1    0.000    0.000    0.000    0.000 exceptions.py:32(ConnectionError)
        1    0.000    0.000    0.000    0.000 exceptions.py:36(ProxyError)
        2    0.000    0.000    0.000    0.000 exceptions.py:40(SSLError)
        1    0.000    0.000    0.000    0.000 exceptions.py:44(Timeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:45(ProxyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:5(ClickException)
        1    0.000    0.000    0.000    0.000 exceptions.py:50(DecodeError)
        1    0.000    0.000    0.000    0.000 exceptions.py:51(BadParameter)
        1    0.000    0.000    0.000    0.000 exceptions.py:53(ConnectTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:55(ProtocolError)
        1    0.000    0.000    0.000    0.000 exceptions.py:60(ReadTimeout)
        1    0.000    0.000    0.000    0.000 exceptions.py:64(URLRequired)
        1    0.000    0.000    0.000    0.000 exceptions.py:66(MaxRetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:68(TooManyRedirects)
        1    0.000    0.000    0.000    0.000 exceptions.py:72(MissingSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:76(InvalidSchema)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:8(HTTPError)
        1    0.000    0.000    0.000    0.000 exceptions.py:80(InvalidURL)
        1    0.000    0.000    0.000    0.000 exceptions.py:84(InvalidHeader)
        1    0.000    0.000    0.000    0.000 exceptions.py:85(HostChangedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:87(MissingParameter)
        1    0.000    0.000    0.000    0.000 exceptions.py:88(ChunkedEncodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:92(ContentDecodingError)
        1    0.000    0.000    0.000    0.000 exceptions.py:94(TimeoutStateError)
        1    0.000    0.000    0.000    0.000 exceptions.py:96(StreamConsumedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:99(TimeoutError)
       11    0.000    0.000    0.000    0.000 extensions.py:105(register_adapter)
        1    0.000    0.000    0.000    0.000 extensions.py:111(SQL_IN)
  1827888    0.835    0.000    0.835    0.000 extensions.py:113(__init__)
  1827888    0.380    0.000    0.380    0.000 extensions.py:117(prepare)
        1    0.000    0.000    0.002    0.002 extensions.py:12(<module>)
  1827888    5.539    0.000   11.780    0.000 extensions.py:120(getquoted)
  1827888    1.064    0.000    2.349    0.000 extensions.py:123(<listcomp>)
  1827888    0.824    0.000    2.371    0.000 extensions.py:128(<listcomp>)
        1    0.000    0.000    0.000    0.000 extensions.py:135(NoneAdapter)
        1    0.000    0.000    0.000    0.000 extensions.py:148(make_dsn)
        6    0.000    0.000    0.000    0.000 extensions.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 extensions.py:173(<listcomp>)
        5    0.000    0.000    0.000    0.000 extensions.py:182(_param_escape)
        1    0.000    0.000    0.000    0.000 extras.py:126(DictConnection)
        1    0.000    0.000    0.000    0.000 extras.py:133(DictCursor)
        1    0.000    0.000    0.000    0.000 extras.py:158(DictRow)
        1    0.000    0.000    0.000    0.000 extras.py:226(RealDictConnection)
        1    0.000    0.000    0.000    0.000 extras.py:233(RealDictCursor)
        1    0.000    0.000    0.000    0.000 extras.py:263(RealDictRow)
        1    0.000    0.000    0.000    0.000 extras.py:289(NamedTupleConnection)
        1    0.000    0.000    0.000    0.000 extras.py:296(NamedTupleCursor)
        1    0.000    0.000    0.000    0.000 extras.py:374(LoggingConnection)
        1    0.000    0.000    0.000    0.000 extras.py:424(LoggingCursor)
        1    0.000    0.000    0.000    0.000 extras.py:440(MinTimeLoggingConnection)
        1    0.000    0.000    0.000    0.000 extras.py:465(MinTimeLoggingCursor)
        1    0.000    0.000    0.000    0.000 extras.py:477(LogicalReplicationConnection)
        1    0.000    0.000    0.000    0.000 extras.py:484(PhysicalReplicationConnection)
        1    0.000    0.000    0.000    0.000 extras.py:491(StopReplication)
        1    0.000    0.000    0.002    0.002 extras.py:5(<module>)
        1    0.000    0.000    0.000    0.000 extras.py:503(ReplicationCursor)
        1    0.000    0.000    0.000    0.000 extras.py:606(UUID_adapter)
        1    0.000    0.000    0.000    0.000 extras.py:66(DictCursorBase)
        1    0.000    0.000    0.000    0.000 extras.py:661(Inet)
        1    0.000    0.000    0.001    0.001 extras.py:780(HstoreAdapter)
        1    0.000    0.000    0.001    0.001 extras.py:982(CompositeCaster)
        1    0.000    0.000    0.000    0.000 featstruct.py:106(FeatStruct)
        1    0.000    0.000    0.000    0.000 featstruct.py:1242(_UnificationFailure)
        1    0.000    0.000    0.000    0.000 featstruct.py:1358(_UnificationFailureError)
        1    0.000    0.000    0.000    0.000 featstruct.py:1684(SubstituteBindingsSequence)
        1    0.000    0.000    0.000    0.000 featstruct.py:1703(FeatureValueTuple)
        1    0.000    0.000    0.000    0.000 featstruct.py:1716(FeatureValueSet)
        1    0.000    0.000    0.000    0.000 featstruct.py:1731(FeatureValueUnion)
        1    0.000    0.000    0.000    0.000 featstruct.py:1760(FeatureValueConcat)
        1    0.000    0.000    0.000    0.000 featstruct.py:1803(Feature)
        2    0.000    0.000    0.000    0.000 featstruct.py:1810(__init__)
        1    0.000    0.000    0.000    0.000 featstruct.py:1874(SlashFeature)
        1    0.000    0.000    0.000    0.000 featstruct.py:1878(RangeFeature)
        1    0.000    0.000    0.000    0.000 featstruct.py:1899(CustomFeatureValue)
        1    0.000    0.000    0.004    0.004 featstruct.py:1941(FeatStructReader)
       13    0.000    0.000    0.000    0.000 featstruct.py:553(_check_frozen)
        1    0.000    0.000    0.000    0.000 featstruct.py:572(FeatDict)
        1    0.000    0.000    0.000    0.000 featstruct.py:878(FeatList)
        1    0.000    0.000    0.017    0.017 featstruct.py:90(<module>)
        1    0.000    0.000    0.000    0.000 feature.py:11(<module>)
        1    0.000    0.000    0.000    0.000 feature.py:14(Feature)
        1    0.000    0.000    0.000    0.000 featurechart.py:13(<module>)
        1    0.000    0.000    0.000    0.000 featurechart.py:139(FeatureChart)
        1    0.000    0.000    0.000    0.000 featurechart.py:219(FeatureFundamentalRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:273(FeatureSingleEdgeFundamentalRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:303(FeatureTopDownInitRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:310(FeatureTopDownPredictRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:35(FeatureTreeEdge)
        1    0.000    0.000    0.000    0.000 featurechart.py:365(FeatureBottomUpPredictRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:377(FeatureBottomUpPredictCombineRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:401(FeatureEmptyPredictRule)
        1    0.000    0.000    0.000    0.000 featurechart.py:427(FeatureChartParser)
        1    0.000    0.000    0.000    0.000 featurechart.py:439(FeatureTopDownChartParser)
        1    0.000    0.000    0.000    0.000 featurechart.py:443(FeatureBottomUpChartParser)
        1    0.000    0.000    0.000    0.000 featurechart.py:447(FeatureBottomUpLeftCornerChartParser)
        1    0.000    0.000    0.000    0.000 featurechart.py:456(InstantiateVarsChart)
        1    0.000    0.000    0.000    0.000 feedparser.py:136(FeedParser)
        1    0.000    0.000    0.002    0.002 feedparser.py:20(<module>)
        1    0.000    0.000    0.000    0.000 feedparser.py:45(BufferedSubFile)
        1    0.000    0.000    0.000    0.000 feedparser.py:532(BytesFeedParser)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
