   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      454    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      448    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:845(_cache_bytecode)
      689    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        6    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:850(set_data)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
    29/28    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:919(create_module)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
      633    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:5(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:5(BasePoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(ClosureVars)
        1    0.000    0.000    0.000    0.000 <string>:5(Column)
        1    0.000    0.000    0.000    0.000 <string>:5(ColumnMetadata)
        1    0.000    0.000    0.000    0.000 <string>:5(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:5(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:5(DefragResult)
        1    0.000    0.000    0.000    0.000 <string>:5(EndpointRateLimit)
        1    0.000    0.000    0.000    0.000 <string>:5(ForeignKeyMetadata)
        1    0.000    0.000    0.000    0.000 <string>:5(FrameInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(FullArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(HTTPPoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(HTTPSPoolKey)
        1    0.000    0.000    0.000    0.000 <string>:5(IndexMetadata)
        1    0.000    0.000    0.000    0.000 <string>:5(JoinCache)
        1    0.000    0.000    0.000    0.000 <string>:5(JoinMetadata)
        1    0.000    0.000    0.000    0.000 <string>:5(ParseResult)
        1    0.000    0.000    0.000    0.000 <string>:5(PhraseTableEntry)
        1    0.000    0.000    0.000    0.000 <string>:5(RequestHistory)
        1    0.000    0.000    0.000    0.000 <string>:5(ResourceEndpoint)
        1    0.000    0.000    0.000    0.000 <string>:5(SelectorKey)
        1    0.000    0.000    0.000    0.000 <string>:5(SplitResult)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:5(Url)
